No,Judul,Harga,Lokasi,Kamar Tidur,Kamar Mandi,Garasi,Luas Tanah,Luas Bangunan,Agen,Kantor Agen
154,Dijual Termurah Harga Nego Rumah Furnished ( 7x20 ) Venice - Pantai Indah Kapuk,"Rp 5,5 Miliar","Pantai Indah Kapuk, Jakarta Utara",3,3,2,140 m²,210 m²,,
155,Rumah Cantik 2 Lantai  Kencana Extension Bsd City Tangerang,"Rp 1,85 Miliar","BSD Kencana Loka, Tangerang",3,3,1,83 m²,110 m²,,
156,"Rumah Modern 65m² di Cibubur, Mulai Cicilan Rp 8 Jutaan!","Rp 1,47 Miliar","Cibubur, Jakarta Timur",3,3,1,65 m²,118 m²,,
157,Rumah di The Savia Bsd City Semi Furnish Lingkungan Asri Dan Aman,"Rp 2,35 Miliar","BSD The Savia, Tangerang",4,3,,105 m²,165 m²,,
158,Rumah 2 lantai lokasi dekat mall artha gading,Rp 895 Juta,"Tanjung Priok, Jakarta Utara",2,2,1,32 m²,54 m²,,
159,Rumah Rapih di Giri Loka Bsd Lokasi Strategis Harga Ekonomis,"Rp 3,3 Miliar","BSD Giri Loka, Tangerang",3,3,,240 m²,200 m²,,
160,Rumah Cantik Modern Siap Huni 2 Lantai di Cibubur Ciracas,"Rp 3,2 Miliar","Cibubur, Jakarta Timur",5,3,2,278 m²,250 m²,,
161,Rumah 1 Lt Siap Huni  15 Mnt ke Mitra Keluarga Pratama Jatiasih Bebas Banjir J22011,Rp 740 Juta,"Jati Asih, Bekasi",2,1,,72 m²,45 m²,,
162,rumah mewah siap huni dekat toll kota wisata,Rp 965 Juta,"Bogor Barat, Bogor",3,2,2,95 m²,90 m²,,
163,Rumah Cluster Bagus Ada Kolam Renang Di Jalan Alternatif Cibubur,Rp 750 Juta,"Cibubur, Bogor",2,1,1,90 m²,70 m²,,
164,FRANS CEN-Dijual Rumah Casa Jardin.cluster. bgs.minimalis.wow keren Luas tanah= 90 m2,"Rp 2,9 Miliar","Daan Mogot, Jakarta Barat",4,3,2,90 m²,120 m²,,
165,Di jual cepat rumah hoek golf island pantai indah kapuk,"Rp 4,5 Miliar","Pantai Indah Kapuk, Jakarta Utara",3,3,2,100 m²,200 m²,,
166,Rumah Baru Murah Dalam Cluster DP 0% 2 Juta Bisa Akad di Ciracas,Rp 950 Juta,"Ciracas, Jakarta Timur",3,2,1,45 m²,64 m²,,
167,"Brandnew ,akses Jalan Lebar di Komplek Pondok Kelapa Jakarta","Rp 4,25 Miliar","Duren Sawit, Jakarta Timur",4,3,2,145 m²,250 m²,,
168, Rumah Bagus Semi Furnished Tanjung Duren,"Rp 1,5 Miliar","Tanjung Duren, Jakarta Barat",4,1,,77 m²,100 m²,,
169,Rumah New 2 Lantai Metland Free Canopy Dan Kitchen Set Metland Puri Cluster Clematis Inventasi Menjanjikan Harga Bersaing,"Rp 2,79 Miliar","Metland Puri, Jakarta Barat",5,4,2,100 m²,160 m²,,
170,"Murah Rumah Baru 3 Lt Rp.1,28m Dkt Lrt & Tol Jakarta Timur, Etty","Rp 1,28 Miliar","Pondok Kelapa, Jakarta Timur",3,3,2,40 m²,80 m²,,
171,Rumah 4kamar Dalam Cluster Kecil Di Jl. Ratna Jati Asih,"Rp 1,6 Miliar","Jati Asih, Bekasi",4,3,1,106 m²,200 m²,,
172,Rumah Tinggal Cocok Untuk Kost Dekat Dengan Kawasan Industri Jababeka,Rp 680 Juta,"Cikarang, Bekasi",3,1,,113 m²,45 m²,,
173,"Rumah 2 Lantai, Posisi Strategis, Depan Jalan Utama di Sukmajaya, Depok","Rp 2,75 Miliar","Sukmajaya, Depok",4,3,1,120 m²,110 m²,,
174,Dijual Termurah Harga Nego Rumah Furnished ( 7x20 ) Venice - Pantai Indah Kapuk,"Rp 5,5 Miliar","Pantai Indah Kapuk, Jakarta Utara",3,3,2,140 m²,210 m²,,
175,Rumah Cantik 2 Lantai  Kencana Extension Bsd City Tangerang,"Rp 1,85 Miliar","BSD Kencana Loka, Tangerang",3,3,1,83 m²,110 m²,,
176,"Rumah Modern 65m² di Cibubur, Mulai Cicilan Rp 8 Jutaan!","Rp 1,47 Miliar","Cibubur, Jakarta Timur",3,3,1,65 m²,118 m²,,
177,Rumah di The Savia Bsd City Semi Furnish Lingkungan Asri Dan Aman,"Rp 2,35 Miliar","BSD The Savia, Tangerang",4,3,,105 m²,165 m²,,
178,Rumah 2 lantai lokasi dekat mall artha gading,Rp 895 Juta,"Tanjung Priok, Jakarta Utara",2,2,1,32 m²,54 m²,,
179,Rumah Rapih di Giri Loka Bsd Lokasi Strategis Harga Ekonomis,"Rp 3,3 Miliar","BSD Giri Loka, Tangerang",3,3,,240 m²,200 m²,,
180,Rumah Cantik Modern Siap Huni 2 Lantai di Cibubur Ciracas,"Rp 3,2 Miliar","Cibubur, Jakarta Timur",5,3,2,278 m²,250 m²,,
181,Rumah 1 Lt Siap Huni  15 Mnt ke Mitra Keluarga Pratama Jatiasih Bebas Banjir J22011,Rp 740 Juta,"Jati Asih, Bekasi",2,1,,72 m²,45 m²,,
182,rumah mewah siap huni dekat toll kota wisata,Rp 965 Juta,"Bogor Barat, Bogor",3,2,2,95 m²,90 m²,,
183,Rumah Cluster Bagus Ada Kolam Renang Di Jalan Alternatif Cibubur,Rp 750 Juta,"Cibubur, Bogor",2,1,1,90 m²,70 m²,,
184,FRANS CEN-Dijual Rumah Casa Jardin.cluster. bgs.minimalis.wow keren Luas tanah= 90 m2,"Rp 2,9 Miliar","Daan Mogot, Jakarta Barat",4,3,2,90 m²,120 m²,,
185,Di jual cepat rumah hoek golf island pantai indah kapuk,"Rp 4,5 Miliar","Pantai Indah Kapuk, Jakarta Utara",3,3,2,100 m²,200 m²,,
186,Rumah Baru Murah Dalam Cluster DP 0% 2 Juta Bisa Akad di Ciracas,Rp 950 Juta,"Ciracas, Jakarta Timur",3,2,1,45 m²,64 m²,,
187,"Brandnew ,akses Jalan Lebar di Komplek Pondok Kelapa Jakarta","Rp 4,25 Miliar","Duren Sawit, Jakarta Timur",4,3,2,145 m²,250 m²,,
188, Rumah Bagus Semi Furnished Tanjung Duren,"Rp 1,5 Miliar","Tanjung Duren, Jakarta Barat",4,1,,77 m²,100 m²,,
189,Rumah New 2 Lantai Metland Free Canopy Dan Kitchen Set Metland Puri Cluster Clematis Inventasi Menjanjikan Harga Bersaing,"Rp 2,79 Miliar","Metland Puri, Jakarta Barat",5,4,2,100 m²,160 m²,,
190,"Murah Rumah Baru 3 Lt Rp.1,28m Dkt Lrt & Tol Jakarta Timur, Etty","Rp 1,28 Miliar","Pondok Kelapa, Jakarta Timur",3,3,2,40 m²,80 m²,,
191,Rumah 4kamar Dalam Cluster Kecil Di Jl. Ratna Jati Asih,"Rp 1,6 Miliar","Jati Asih, Bekasi",4,3,1,106 m²,200 m²,,
192,Rumah Tinggal Cocok Untuk Kost Dekat Dengan Kawasan Industri Jababeka,Rp 680 Juta,"Cikarang, Bekasi",3,1,,113 m²,45 m²,,
193,"Rumah 2 Lantai, Posisi Strategis, Depan Jalan Utama di Sukmajaya, Depok","Rp 2,75 Miliar","Sukmajaya, Depok",4,3,1,120 m²,110 m²,,
194,Dijual Termurah Harga Nego Rumah Furnished ( 7x20 ) Venice - Pantai Indah Kapuk,"Rp 5,5 Miliar","Pantai Indah Kapuk, Jakarta Utara",3,3,2,140 m²,210 m²,,
195,Rumah Cantik 2 Lantai  Kencana Extension Bsd City Tangerang,"Rp 1,85 Miliar","BSD Kencana Loka, Tangerang",3,3,1,83 m²,110 m²,,
196,"Rumah Modern 65m² di Cibubur, Mulai Cicilan Rp 8 Jutaan!","Rp 1,47 Miliar","Cibubur, Jakarta Timur",3,3,1,65 m²,118 m²,,
197,Rumah di The Savia Bsd City Semi Furnish Lingkungan Asri Dan Aman,"Rp 2,35 Miliar","BSD The Savia, Tangerang",4,3,,105 m²,165 m²,,
198,Rumah 2 lantai lokasi dekat mall artha gading,Rp 895 Juta,"Tanjung Priok, Jakarta Utara",2,2,1,32 m²,54 m²,,
199,Rumah Rapih di Giri Loka Bsd Lokasi Strategis Harga Ekonomis,"Rp 3,3 Miliar","BSD Giri Loka, Tangerang",3,3,,240 m²,200 m²,,
200,Rumah Cantik Modern Siap Huni 2 Lantai di Cibubur Ciracas,"Rp 3,2 Miliar","Cibubur, Jakarta Timur",5,3,2,278 m²,250 m²,,
201,Rumah 1 Lt Siap Huni  15 Mnt ke Mitra Keluarga Pratama Jatiasih Bebas Banjir J22011,Rp 740 Juta,"Jati Asih, Bekasi",2,1,,72 m²,45 m²,,
202,rumah mewah siap huni dekat toll kota wisata,Rp 965 Juta,"Bogor Barat, Bogor",3,2,2,95 m²,90 m²,,
203,Rumah Cluster Bagus Ada Kolam Renang Di Jalan Alternatif Cibubur,Rp 750 Juta,"Cibubur, Bogor",2,1,1,90 m²,70 m²,,
204,FRANS CEN-Dijual Rumah Casa Jardin.cluster. bgs.minimalis.wow keren Luas tanah= 90 m2,"Rp 2,9 Miliar","Daan Mogot, Jakarta Barat",4,3,2,90 m²,120 m²,,
205,Di jual cepat rumah hoek golf island pantai indah kapuk,"Rp 4,5 Miliar","Pantai Indah Kapuk, Jakarta Utara",3,3,2,100 m²,200 m²,,
206,Rumah Baru Murah Dalam Cluster DP 0% 2 Juta Bisa Akad di Ciracas,Rp 950 Juta,"Ciracas, Jakarta Timur",3,2,1,45 m²,64 m²,,
207,"Brandnew ,akses Jalan Lebar di Komplek Pondok Kelapa Jakarta","Rp 4,25 Miliar","Duren Sawit, Jakarta Timur",4,3,2,145 m²,250 m²,,
208, Rumah Bagus Semi Furnished Tanjung Duren,"Rp 1,5 Miliar","Tanjung Duren, Jakarta Barat",4,1,,77 m²,100 m²,,
209,Rumah New 2 Lantai Metland Free Canopy Dan Kitchen Set Metland Puri Cluster Clematis Inventasi Menjanjikan Harga Bersaing,"Rp 2,79 Miliar","Metland Puri, Jakarta Barat",5,4,2,100 m²,160 m²,,
210,"Murah Rumah Baru 3 Lt Rp.1,28m Dkt Lrt & Tol Jakarta Timur, Etty","Rp 1,28 Miliar","Pondok Kelapa, Jakarta Timur",3,3,2,40 m²,80 m²,,
211,Rumah 4kamar Dalam Cluster Kecil Di Jl. Ratna Jati Asih,"Rp 1,6 Miliar","Jati Asih, Bekasi",4,3,1,106 m²,200 m²,,
212,Rumah Tinggal Cocok Untuk Kost Dekat Dengan Kawasan Industri Jababeka,Rp 680 Juta,"Cikarang, Bekasi",3,1,,113 m²,45 m²,,
213,"Rumah 2 Lantai, Posisi Strategis, Depan Jalan Utama di Sukmajaya, Depok","Rp 2,75 Miliar","Sukmajaya, Depok",4,3,1,120 m²,110 m²,,
214,Dijual Termurah Harga Nego Rumah Furnished ( 7x20 ) Venice - Pantai Indah Kapuk,"Rp 5,5 Miliar","Pantai Indah Kapuk, Jakarta Utara",3,3,2,140 m²,210 m²,,
215,Rumah Cantik 2 Lantai  Kencana Extension Bsd City Tangerang,"Rp 1,85 Miliar","BSD Kencana Loka, Tangerang",3,3,1,83 m²,110 m²,,
216,"Rumah Modern 65m² di Cibubur, Mulai Cicilan Rp 8 Jutaan!","Rp 1,47 Miliar","Cibubur, Jakarta Timur",3,3,1,65 m²,118 m²,,
217,Rumah di The Savia Bsd City Semi Furnish Lingkungan Asri Dan Aman,"Rp 2,35 Miliar","BSD The Savia, Tangerang",4,3,,105 m²,165 m²,,
218,Rumah 2 lantai lokasi dekat mall artha gading,Rp 895 Juta,"Tanjung Priok, Jakarta Utara",2,2,1,32 m²,54 m²,,
219,Rumah Rapih di Giri Loka Bsd Lokasi Strategis Harga Ekonomis,"Rp 3,3 Miliar","BSD Giri Loka, Tangerang",3,3,,240 m²,200 m²,,
220,Rumah Cantik Modern Siap Huni 2 Lantai di Cibubur Ciracas,"Rp 3,2 Miliar","Cibubur, Jakarta Timur",5,3,2,278 m²,250 m²,,
221,Rumah 1 Lt Siap Huni  15 Mnt ke Mitra Keluarga Pratama Jatiasih Bebas Banjir J22011,Rp 740 Juta,"Jati Asih, Bekasi",2,1,,72 m²,45 m²,,
222,rumah mewah siap huni dekat toll kota wisata,Rp 965 Juta,"Bogor Barat, Bogor",3,2,2,95 m²,90 m²,,
223,Rumah Cluster Bagus Ada Kolam Renang Di Jalan Alternatif Cibubur,Rp 750 Juta,"Cibubur, Bogor",2,1,1,90 m²,70 m²,,
224,FRANS CEN-Dijual Rumah Casa Jardin.cluster. bgs.minimalis.wow keren Luas tanah= 90 m2,"Rp 2,9 Miliar","Daan Mogot, Jakarta Barat",4,3,2,90 m²,120 m²,,
225,Di jual cepat rumah hoek golf island pantai indah kapuk,"Rp 4,5 Miliar","Pantai Indah Kapuk, Jakarta Utara",3,3,2,100 m²,200 m²,,
226,Rumah Baru Murah Dalam Cluster DP 0% 2 Juta Bisa Akad di Ciracas,Rp 950 Juta,"Ciracas, Jakarta Timur",3,2,1,45 m²,64 m²,,
227,"Brandnew ,akses Jalan Lebar di Komplek Pondok Kelapa Jakarta","Rp 4,25 Miliar","Duren Sawit, Jakarta Timur",4,3,2,145 m²,250 m²,,
228, Rumah Bagus Semi Furnished Tanjung Duren,"Rp 1,5 Miliar","Tanjung Duren, Jakarta Barat",4,1,,77 m²,100 m²,,
229,Rumah New 2 Lantai Metland Free Canopy Dan Kitchen Set Metland Puri Cluster Clematis Inventasi Menjanjikan Harga Bersaing,"Rp 2,79 Miliar","Metland Puri, Jakarta Barat",5,4,2,100 m²,160 m²,,
230,"Murah Rumah Baru 3 Lt Rp.1,28m Dkt Lrt & Tol Jakarta Timur, Etty","Rp 1,28 Miliar","Pondok Kelapa, Jakarta Timur",3,3,2,40 m²,80 m²,,
231,Rumah 4kamar Dalam Cluster Kecil Di Jl. Ratna Jati Asih,"Rp 1,6 Miliar","Jati Asih, Bekasi",4,3,1,106 m²,200 m²,,
232,Rumah Tinggal Cocok Untuk Kost Dekat Dengan Kawasan Industri Jababeka,Rp 680 Juta,"Cikarang, Bekasi",3,1,,113 m²,45 m²,,
233,"Rumah 2 Lantai, Posisi Strategis, Depan Jalan Utama di Sukmajaya, Depok","Rp 2,75 Miliar","Sukmajaya, Depok",4,3,1,120 m²,110 m²,,
234,Dijual Termurah Harga Nego Rumah Furnished ( 7x20 ) Venice - Pantai Indah Kapuk,"Rp 5,5 Miliar","Pantai Indah Kapuk, Jakarta Utara",3,3,2,140 m²,210 m²,,
235,Rumah Cantik 2 Lantai  Kencana Extension Bsd City Tangerang,"Rp 1,85 Miliar","BSD Kencana Loka, Tangerang",3,3,1,83 m²,110 m²,,
236,"Rumah Modern 65m² di Cibubur, Mulai Cicilan Rp 8 Jutaan!","Rp 1,47 Miliar","Cibubur, Jakarta Timur",3,3,1,65 m²,118 m²,,
237,Rumah di The Savia Bsd City Semi Furnish Lingkungan Asri Dan Aman,"Rp 2,35 Miliar","BSD The Savia, Tangerang",4,3,,105 m²,165 m²,,
238,Rumah 2 lantai lokasi dekat mall artha gading,Rp 895 Juta,"Tanjung Priok, Jakarta Utara",2,2,1,32 m²,54 m²,,
239,Rumah Rapih di Giri Loka Bsd Lokasi Strategis Harga Ekonomis,"Rp 3,3 Miliar","BSD Giri Loka, Tangerang",3,3,,240 m²,200 m²,,
240,Rumah Cantik Modern Siap Huni 2 Lantai di Cibubur Ciracas,"Rp 3,2 Miliar","Cibubur, Jakarta Timur",5,3,2,278 m²,250 m²,,
241,Rumah 1 Lt Siap Huni  15 Mnt ke Mitra Keluarga Pratama Jatiasih Bebas Banjir J22011,Rp 740 Juta,"Jati Asih, Bekasi",2,1,,72 m²,45 m²,,
242,rumah mewah siap huni dekat toll kota wisata,Rp 965 Juta,"Bogor Barat, Bogor",3,2,2,95 m²,90 m²,,
243,Rumah Cluster Bagus Ada Kolam Renang Di Jalan Alternatif Cibubur,Rp 750 Juta,"Cibubur, Bogor",2,1,1,90 m²,70 m²,,
244,FRANS CEN-Dijual Rumah Casa Jardin.cluster. bgs.minimalis.wow keren Luas tanah= 90 m2,"Rp 2,9 Miliar","Daan Mogot, Jakarta Barat",4,3,2,90 m²,120 m²,,
245,Di jual cepat rumah hoek golf island pantai indah kapuk,"Rp 4,5 Miliar","Pantai Indah Kapuk, Jakarta Utara",3,3,2,100 m²,200 m²,,
246,Rumah Baru Murah Dalam Cluster DP 0% 2 Juta Bisa Akad di Ciracas,Rp 950 Juta,"Ciracas, Jakarta Timur",3,2,1,45 m²,64 m²,,
247,"Brandnew ,akses Jalan Lebar di Komplek Pondok Kelapa Jakarta","Rp 4,25 Miliar","Duren Sawit, Jakarta Timur",4,3,2,145 m²,250 m²,,
248, Rumah Bagus Semi Furnished Tanjung Duren,"Rp 1,5 Miliar","Tanjung Duren, Jakarta Barat",4,1,,77 m²,100 m²,,
249,Rumah New 2 Lantai Metland Free Canopy Dan Kitchen Set Metland Puri Cluster Clematis Inventasi Menjanjikan Harga Bersaing,"Rp 2,79 Miliar","Metland Puri, Jakarta Barat",5,4,2,100 m²,160 m²,,
250,"Murah Rumah Baru 3 Lt Rp.1,28m Dkt Lrt & Tol Jakarta Timur, Etty","Rp 1,28 Miliar","Pondok Kelapa, Jakarta Timur",3,3,2,40 m²,80 m²,,
251,Rumah 4kamar Dalam Cluster Kecil Di Jl. Ratna Jati Asih,"Rp 1,6 Miliar","Jati Asih, Bekasi",4,3,1,106 m²,200 m²,,
252,Rumah Tinggal Cocok Untuk Kost Dekat Dengan Kawasan Industri Jababeka,Rp 680 Juta,"Cikarang, Bekasi",3,1,,113 m²,45 m²,,
253,"Rumah 2 Lantai, Posisi Strategis, Depan Jalan Utama di Sukmajaya, Depok","Rp 2,75 Miliar","Sukmajaya, Depok",4,3,1,120 m²,110 m²,,
254,Dijual Termurah Harga Nego Rumah Furnished ( 7x20 ) Venice - Pantai Indah Kapuk,"Rp 5,5 Miliar","Pantai Indah Kapuk, Jakarta Utara",3,3,2,140 m²,210 m²,,
255,Rumah Cantik 2 Lantai  Kencana Extension Bsd City Tangerang,"Rp 1,85 Miliar","BSD Kencana Loka, Tangerang",3,3,1,83 m²,110 m²,,
256,"Rumah Modern 65m² di Cibubur, Mulai Cicilan Rp 8 Jutaan!","Rp 1,47 Miliar","Cibubur, Jakarta Timur",3,3,1,65 m²,118 m²,,
257,Rumah di The Savia Bsd City Semi Furnish Lingkungan Asri Dan Aman,"Rp 2,35 Miliar","BSD The Savia, Tangerang",4,3,,105 m²,165 m²,,
258,Rumah 2 lantai lokasi dekat mall artha gading,Rp 895 Juta,"Tanjung Priok, Jakarta Utara",2,2,1,32 m²,54 m²,,
259,Rumah Rapih di Giri Loka Bsd Lokasi Strategis Harga Ekonomis,"Rp 3,3 Miliar","BSD Giri Loka, Tangerang",3,3,,240 m²,200 m²,,
260,Rumah Cantik Modern Siap Huni 2 Lantai di Cibubur Ciracas,"Rp 3,2 Miliar","Cibubur, Jakarta Timur",5,3,2,278 m²,250 m²,,
261,Rumah 1 Lt Siap Huni  15 Mnt ke Mitra Keluarga Pratama Jatiasih Bebas Banjir J22011,Rp 740 Juta,"Jati Asih, Bekasi",2,1,,72 m²,45 m²,,
262,rumah mewah siap huni dekat toll kota wisata,Rp 965 Juta,"Bogor Barat, Bogor",3,2,2,95 m²,90 m²,,
263,Rumah Cluster Bagus Ada Kolam Renang Di Jalan Alternatif Cibubur,Rp 750 Juta,"Cibubur, Bogor",2,1,1,90 m²,70 m²,,
264,FRANS CEN-Dijual Rumah Casa Jardin.cluster. bgs.minimalis.wow keren Luas tanah= 90 m2,"Rp 2,9 Miliar","Daan Mogot, Jakarta Barat",4,3,2,90 m²,120 m²,,
265,Di jual cepat rumah hoek golf island pantai indah kapuk,"Rp 4,5 Miliar","Pantai Indah Kapuk, Jakarta Utara",3,3,2,100 m²,200 m²,,
266,Rumah Baru Murah Dalam Cluster DP 0% 2 Juta Bisa Akad di Ciracas,Rp 950 Juta,"Ciracas, Jakarta Timur",3,2,1,45 m²,64 m²,,
267,"Brandnew ,akses Jalan Lebar di Komplek Pondok Kelapa Jakarta","Rp 4,25 Miliar","Duren Sawit, Jakarta Timur",4,3,2,145 m²,250 m²,,
268,Dijual Unit Rumah Langka di Anantha Avani BSD - Siap Huni Lokasi Strategis,"Rp 2,4 Miliar","BSD Avani, Tangerang",3,3,,144 m²,99 m²,,
269, Rumah Bagus Semi Furnished Tanjung Duren,"Rp 1,5 Miliar","Tanjung Duren, Jakarta Barat",4,1,,77 m²,100 m²,,
270,"Rumah Nyaman Siap Huni di Graha Cileungsi Permai, Bogor",Rp 375 Juta,"Cileungsi, Bogor",2,1,1,72 m²,68 m²,,
271,Rumah New 2 Lantai Metland Free Canopy Dan Kitchen Set Metland Puri Cluster Clematis Inventasi Menjanjikan Harga Bersaing,"Rp 2,79 Miliar","Metland Puri, Jakarta Barat",5,4,2,100 m²,160 m²,,
272,"Murah Rumah Baru 3 Lt Rp.1,28m Dkt Lrt & Tol Jakarta Timur, Etty","Rp 1,28 Miliar","Pondok Kelapa, Jakarta Timur",3,3,2,40 m²,80 m²,,
273,Rumah 4kamar Dalam Cluster Kecil Di Jl. Ratna Jati Asih,"Rp 1,6 Miliar","Jati Asih, Bekasi",4,3,1,106 m²,200 m²,,
274,Rumah Tinggal Cocok Untuk Kost Dekat Dengan Kawasan Industri Jababeka,Rp 680 Juta,"Cikarang, Bekasi",3,1,,113 m²,45 m²,,
275,"Rumah 2 Lantai, Posisi Strategis, Depan Jalan Utama di Sukmajaya, Depok","Rp 2,75 Miliar","Sukmajaya, Depok",4,3,1,120 m²,110 m²,,
276,Dijual Termurah Harga Nego Rumah Furnished ( 7x20 ) Venice - Pantai Indah Kapuk,"Rp 5,5 Miliar","Pantai Indah Kapuk, Jakarta Utara",3,3,2,140 m²,210 m²,,
277,"Rumah.2,5 Lantai.di Tanjung Duren Jakarta Barat","Rp 3,9 Miliar","Tanjung Duren, Jakarta Barat",5,3,2,88 m²,180 m²,,
278,Rumah Cantik 2 Lantai  Kencana Extension Bsd City Tangerang,"Rp 1,85 Miliar","BSD Kencana Loka, Tangerang",3,3,1,83 m²,110 m²,,
279,"Rumah Modern 65m² di Cibubur, Mulai Cicilan Rp 8 Jutaan!","Rp 1,47 Miliar","Cibubur, Jakarta Timur",3,3,1,65 m²,118 m²,,
280,Rumah di The Savia Bsd City Semi Furnish Lingkungan Asri Dan Aman,"Rp 2,35 Miliar","BSD The Savia, Tangerang",4,3,,105 m²,165 m²,,
281,Rumah 1 Lt Siap Huni  15 Mnt ke Mitra Keluarga Pratama Jatiasih Bebas Banjir J22011,Rp 740 Juta,"Jati Asih, Bekasi",2,1,,72 m²,45 m²,,
282,rumah mewah siap huni dekat toll kota wisata,Rp 965 Juta,"Bogor Barat, Bogor",3,2,2,95 m²,90 m²,,
283,Rumah Cluster Bagus Ada Kolam Renang Di Jalan Alternatif Cibubur,Rp 750 Juta,"Cibubur, Bogor",2,1,1,90 m²,70 m²,,
284,FRANS CEN-Dijual Rumah Casa Jardin.cluster. bgs.minimalis.wow keren Luas tanah= 90 m2,"Rp 2,9 Miliar","Daan Mogot, Jakarta Barat",4,3,2,90 m²,120 m²,,
285,Di jual cepat rumah hoek golf island pantai indah kapuk,"Rp 4,5 Miliar","Pantai Indah Kapuk, Jakarta Utara",3,3,2,100 m²,200 m²,,
286,Rumah Baru Murah Dalam Cluster DP 0% 2 Juta Bisa Akad di Ciracas,Rp 950 Juta,"Ciracas, Jakarta Timur",3,2,1,45 m²,64 m²,,
287,"Brandnew ,akses Jalan Lebar di Komplek Pondok Kelapa Jakarta","Rp 4,25 Miliar","Duren Sawit, Jakarta Timur",4,3,2,145 m²,250 m²,,
288,Dijual Unit Rumah Langka di Anantha Avani BSD - Siap Huni Lokasi Strategis,"Rp 2,4 Miliar","BSD Avani, Tangerang",3,3,,144 m²,99 m²,,
289, Rumah Bagus Semi Furnished Tanjung Duren,"Rp 1,5 Miliar","Tanjung Duren, Jakarta Barat",4,1,,77 m²,100 m²,,
290,"Rumah Nyaman Siap Huni di Graha Cileungsi Permai, Bogor",Rp 375 Juta,"Cileungsi, Bogor",2,1,1,72 m²,68 m²,,
291,Rumah New 2 Lantai Metland Free Canopy Dan Kitchen Set Metland Puri Cluster Clematis Inventasi Menjanjikan Harga Bersaing,"Rp 2,79 Miliar","Metland Puri, Jakarta Barat",5,4,2,100 m²,160 m²,,
292,"Murah Rumah Baru 3 Lt Rp.1,28m Dkt Lrt & Tol Jakarta Timur, Etty","Rp 1,28 Miliar","Pondok Kelapa, Jakarta Timur",3,3,2,40 m²,80 m²,,
293,Rumah 4kamar Dalam Cluster Kecil Di Jl. Ratna Jati Asih,"Rp 1,6 Miliar","Jati Asih, Bekasi",4,3,1,106 m²,200 m²,,
294,Rumah Tinggal Cocok Untuk Kost Dekat Dengan Kawasan Industri Jababeka,Rp 680 Juta,"Cikarang, Bekasi",3,1,,113 m²,45 m²,,
295,"Rumah 2 Lantai, Posisi Strategis, Depan Jalan Utama di Sukmajaya, Depok","Rp 2,75 Miliar","Sukmajaya, Depok",4,3,1,120 m²,110 m²,,
296,Dijual Termurah Harga Nego Rumah Furnished ( 7x20 ) Venice - Pantai Indah Kapuk,"Rp 5,5 Miliar","Pantai Indah Kapuk, Jakarta Utara",3,3,2,140 m²,210 m²,,
297,"Rumah.2,5 Lantai.di Tanjung Duren Jakarta Barat","Rp 3,9 Miliar","Tanjung Duren, Jakarta Barat",5,3,2,88 m²,180 m²,,
298,Rumah Cantik 2 Lantai  Kencana Extension Bsd City Tangerang,"Rp 1,85 Miliar","BSD Kencana Loka, Tangerang",3,3,1,83 m²,110 m²,,
299,"Rumah Modern 65m² di Cibubur, Mulai Cicilan Rp 8 Jutaan!","Rp 1,47 Miliar","Cibubur, Jakarta Timur",3,3,1,65 m²,118 m²,,
300,Rumah di The Savia Bsd City Semi Furnish Lingkungan Asri Dan Aman,"Rp 2,35 Miliar","BSD The Savia, Tangerang",4,3,,105 m²,165 m²,,
301,Rumah 1 Lt Siap Huni  15 Mnt ke Mitra Keluarga Pratama Jatiasih Bebas Banjir J22011,Rp 740 Juta,"Jati Asih, Bekasi",2,1,,72 m²,45 m²,,
302,rumah mewah siap huni dekat toll kota wisata,Rp 965 Juta,"Bogor Barat, Bogor",3,2,2,95 m²,90 m²,,
303,Rumah Cluster Bagus Ada Kolam Renang Di Jalan Alternatif Cibubur,Rp 750 Juta,"Cibubur, Bogor",2,1,1,90 m²,70 m²,,
304,FRANS CEN-Dijual Rumah Casa Jardin.cluster. bgs.minimalis.wow keren Luas tanah= 90 m2,"Rp 2,9 Miliar","Daan Mogot, Jakarta Barat",4,3,2,90 m²,120 m²,,
305,Di jual cepat rumah hoek golf island pantai indah kapuk,"Rp 4,5 Miliar","Pantai Indah Kapuk, Jakarta Utara",3,3,2,100 m²,200 m²,,
306,Rumah Baru Murah Dalam Cluster DP 0% 2 Juta Bisa Akad di Ciracas,Rp 950 Juta,"Ciracas, Jakarta Timur",3,2,1,45 m²,64 m²,,
307,"Brandnew ,akses Jalan Lebar di Komplek Pondok Kelapa Jakarta","Rp 4,25 Miliar","Duren Sawit, Jakarta Timur",4,3,2,145 m²,250 m²,,
308,Dijual Unit Rumah Langka di Anantha Avani BSD - Siap Huni Lokasi Strategis,"Rp 2,4 Miliar","BSD Avani, Tangerang",3,3,,144 m²,99 m²,,
309, Rumah Bagus Semi Furnished Tanjung Duren,"Rp 1,5 Miliar","Tanjung Duren, Jakarta Barat",4,1,,77 m²,100 m²,,
310,"Rumah Nyaman Siap Huni di Graha Cileungsi Permai, Bogor",Rp 375 Juta,"Cileungsi, Bogor",2,1,1,72 m²,68 m²,,
